,elect,hot,chill,elect_c,hot_c,chill_c,total,total_c,vals,perc_change
0.0,142453.40824978868,71662.765076043,65269.39710980665,25328.67,9780.94,7794.79,279385.5704356383,42904.4,29.814814814814863,0.0
1.0,142294.17388254992,71564.22468360234,64225.513191169885,25275.21,9767.49,7670.13,278083.91175732214,42712.829999999994,30.11296296296301,1.0
2.5,142104.49564504207,71428.5553870049,62787.33856049257,25203.02,9748.97,7498.38,276320.3895925395,42450.369999999995,30.56018518518524,2.5
5.0,141899.55986719023,71234.46271177378,60784.82505311489,25123.38,9722.48,7259.23,273918.8476320789,42105.09,31.30555555555561,5.0
10.0,141737.9299999114,70957.4000707189,57896.626712487625,25035.55,9684.67,6914.3,270591.9567831179,41634.520000000004,32.796296296296354,10.0
25.0,141696.00242474,70845.62161021141,55974.825077299975,24994.49,9669.41,6684.79,268516.4491122514,41348.69,37.26851851851858,25.0
50.0,141696.00237937254,70845.6216094494,55974.81696409991,24994.49,9669.41,6684.79,268516.44095292187,41348.69,44.72222222222231,50.0
98.0,141696.00237937254,70845.6216094494,55974.81696409991,24994.49,9669.41,6684.79,268516.44095292187,41348.69,59.03333333333344,98.0
75.0,141696.00237937254,70845.6216094494,55974.81696409991,24994.49,9669.41,6684.79,268516.44095292187,41348.69,52.175925925926016,75.0
