,elect,hot,chill,elect_c,hot_c,chill_c,total,total_c,vals,perc_change
-98,142581.65507010164,64206.13237727789,64356.7276064412,25353.9,8763.22,7685.8,271144.51505382074,41802.920000000006,0.024,-98
-50,142504.39036803716,68108.04561066258,64810.814960569965,25338.31,9295.77,7740.03,275423.2509392697,42374.11,0.6,-50
-25,142475.469464091,69947.06377463434,65041.95212379252,25332.79,9546.77,7767.63,277464.4853625179,42647.189999999995,0.8999999999999999,-25
0,142453.40824978868,71662.765076043,65269.39710980665,25328.67,9780.94,7794.79,279385.5704356383,42904.4,1.2,0
25,142437.08647937074,73241.28569550133,65501.07767204762,25325.83,9996.39,7822.46,281179.4498469197,43144.68,1.5,25
50,142424.8420024894,74677.431193475,65736.78907494128,25323.94,10192.4,7850.61,282839.0622709057,43366.95,1.7999999999999998,50
98,142404.85030556278,77342.50864396834,66131.10752055104,25319.79,10556.14,7897.7,285878.4664700822,43773.63,2.376,98
