,elect,hot,chill,elect_c,hot_c,chill_c,total,total_c,vals,perc_change
-98.0,46534.391145764,121005.70706878504,56517.40916957959,8582.23,16515.54,6749.59,224057.50738412864,31847.36,0.3999999999999986,-98.0
-75.0,68934.88747922874,107440.06878841692,57839.496884465145,12474.56,14664.03,6907.48,234214.4531521108,34046.07,5.0,-75.0
-50.0,93321.81574304265,93749.50585693002,59499.73474673567,16718.68,12795.46,7105.75,246571.05634670833,36619.89,10.0,-50.0
-25.0,117825.46622089567,81843.00336739734,61854.404935177285,21002.67,11170.4,7386.96,261522.8745234703,39560.03,15.0,-25.0
-10.0,132581.8725275967,75561.1880327806,63781.63329182036,23595.66,10313.02,7617.12,271924.69385219767,41525.8,18.0,-10.0
-5.0,137512.81724145124,73582.24605593622,64504.69829500925,24461.3,10042.92,7703.47,275599.7615923967,42207.69,19.0,-5.0
-2.5,139981.8878866844,72614.96659001782,64882.326142977894,24894.97,9910.9,7748.57,277479.1806196801,42554.44,19.5,-2.5
-1.0,141464.42204389686,72042.34480739599,65113.93622760093,25155.56,9832.75,7776.23,278620.70307889377,42764.53999999999,19.8,-1.0
0.0,142453.40824978868,71662.765076043,65269.39710980665,25328.67,9780.94,7794.79,279385.5704356383,42904.4,20.0,0.0
