,elect,hot,chill,elect_c,hot_c,chill_c,total,total_c,vals,perc_change
-98,111541.03005792094,51666.22093595763,110589.3532921782,20649.96,7051.7,13207.13,273796.60428605677,40908.79,0.0706713780918728,-98
-50,108525.03196926994,24410.18351712872,85380.61190268096,20125.2,3331.64,10196.58,218315.8273890796,33653.42,1.76678445229682,-50
-25,108087.95571861858,22317.991380634496,83319.7910680287,20047.03,3046.09,9950.46,213725.7381672818,33043.58,2.65017667844523,-25
0,107835.76297927964,21208.481976023293,82199.41435928215,20000.17,2894.65,9816.66,211243.6593145851,32711.48,3.53356890459364,0
25,107678.44373002458,20525.549131597843,81498.31819300118,19970.93,2801.44,9732.93,209702.3110546236,32505.3,4.41696113074205,25
50,107572.45990575153,20063.618935431867,81023.80885666095,19949.69,2738.4,9676.26,208659.88769784436,32364.35,5.30035335689046,50
98,107440.83134122174,19497.441321788054,80434.524586637,19925.11,2661.12,9605.89,207372.7972496468,32192.12,6.996466431095406,98
