,elect,hot,chill,elect_c,hot_c,chill_c,total,total_c,vals,perc_change
-98,149129.10993000574,129375.08265525952,108945.86772737525,27080.8,17657.84,13010.86,387450.0603126405,57749.5,0.0704225352112679,-98
-50,142818.17326585745,77548.71645705403,69505.66452888689,25470.26,10584.29,8300.71,289872.55425179837,44355.26,1.7605633802816902,-50
-25,142710.79889106852,74821.12306366215,67761.7229675579,25423.38,10212.01,8092.44,285293.6449222886,43727.83,2.6408450704225355,-25
0,142665.17047099813,73389.97636968136,66867.20306293294,25401.17,10016.68,7985.61,282922.3499036124,43403.46,3.5211267605633805,0
25,142642.3080655853,72506.86186144281,66324.85218315297,25388.61,9896.15,7920.84,281474.0221101811,43205.600000000006,4.401408450704226,25
50,142621.76254980353,71907.02570088083,65942.78599640046,25379.8,9814.28,7875.21,280471.5742470848,43069.29,5.281690140845071,50
98,142606.3130789377,71167.43862553785,65501.53743115178,25370.82,9713.34,7822.52,279275.28913562733,42906.68000000001,6.971830985915493,98
