,elect,hot,chill,elect_c,hot_c,chill_c,total,total_c,vals,perc_change
-98,110303.5856128493,49711.30080938966,104149.82109127135,20396.6,6784.88,12438.09,264164.7075135103,39619.57,0.0704225352112679,-98
-50,107453.87898195209,22565.561191443674,80634.93747978598,19910.75,3079.88,9629.82,210654.37765318173,32620.45,1.7605633802816902,-50
-25,107250.92721942077,20865.901684990753,79546.10334752288,19872.63,2847.9,9499.79,207662.9322519344,32220.320000000003,2.6408450704225355,-25
0,107143.92413730767,19959.899622807206,78974.3778922194,19852.73,2724.24,9431.51,206078.20165233428,32008.480000000003,3.5211267605633805,0
25,107077.44417932314,19398.951814495693,78620.29911965792,19839.96,2647.68,9389.23,205096.69511347677,31876.87,4.401408450704226,25
50,107031.91390997397,19018.005027479485,78377.33457588231,19832.02,2595.69,9360.21,204427.25351333577,31787.92,5.281690140845071,50
98,106975.96494668098,18548.61644368906,78073.43882303727,19821.49,2531.62,9323.92,203598.0202134073,31677.03,6.971830985915493,98
