,0,1
-98,0.07042253521126796,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/floor_2/run_neg_98
-50,1.7605633802816902,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/floor_2/run_neg_50
-25,2.6408450704225355,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/floor_2/run_neg_25
0,3.5211267605633805,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/floor_2/run_0
25,4.401408450704226,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/floor_2/run_25
50,5.281690140845071,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/floor_2/run_50
98,6.971830985915493,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/floor_2/run_98
