,elect,hot,chill,elect_c,hot_c,chill_c,total,total_c,vals,perc_change
-98.0,142263.92880336376,33486.17443221575,64760.92333370581,25288.28,4570.38,7734.07,240511.0265692853,37592.729999999996,0.3844444444444453,-98.0
-75.0,142263.9307881447,33487.57155099067,64760.92331237277,25288.28,4570.57,7734.07,240512.42565150815,37592.92,4.805555555555567,-75.0
-50.0,142264.8653167333,33894.46336140295,64761.25912496575,25288.43,4626.11,7734.11,240920.587803102,37648.65,9.611111111111134,-50.0
-25.0,142283.3382867962,39140.2447721289,64779.300452920725,25292.06,5342.08,7736.27,246202.88351184584,38370.41,14.4166666666667,-25.0
-10.0,142344.92032125796,52409.200209283015,64910.5467594175,25304.62,7153.1,7751.94,259664.66728995845,40209.66,17.30000000000004,-10.0
-5.0,142389.2932338075,60753.049119220406,65045.02981224413,25314.15,8291.92,7768.0,268187.372165272,41374.07,18.261111111111152,-5.0
-2.5,142418.5901096326,65892.60247572664,65144.623957982214,25320.76,8993.4,7779.89,273455.8165433415,42094.049999999996,18.74166666666671,-2.5
-1.0,142438.67062115803,69281.35066420813,65216.40701677984,25325.33,9455.91,7788.47,276936.42830214597,42569.71000000001,19.030000000000044,-1.0
0.0,142453.40824978868,71662.765076043,65269.39710980665,25328.67,9780.94,7794.79,279385.5704356383,42904.4,19.222222222222268,0.0
