,elect,hot,chill,elect_c,hot_c,chill_c,total,total_c,vals,perc_change
-98,104929.74972632434,21627.68185218265,63434.69167218561,19472.53,2951.87,7575.69,189992.12325069262,30000.089999999997,0.0035498757543485,-98
-50,106310.96372665465,19827.866663022593,71874.7954278669,19729.25,2706.22,8583.64,198013.62581754415,31019.11,0.0887468938587149,-50
-25,106639.55723951085,19305.99358623534,75128.700254563,19772.62,2634.99,8972.24,201074.2510803092,31379.85,0.1331203407880724,-25
0,106895.37549947793,18940.063394118242,77717.98522894776,19805.56,2585.05,9281.47,203553.42412254395,31672.08,0.1774937877174298,0
25,107125.73993803698,18664.772540305494,79705.96729619963,19840.67,2547.47,9518.88,205496.4797745421,31907.019999999997,0.2218672346467873,25
50,107314.03017746186,18447.78180247793,81338.40964823,19871.44,2517.86,9713.84,207100.22162816976,32103.14,0.2662406815761448,50
98,107586.7944732902,18132.7903450087,83775.96258151268,19914.05,2474.87,10004.94,209495.54739981156,32393.86,0.3514376996805112,98
