,elect,hot,chill,elect_c,hot_c,chill_c,total,total_c,vals,perc_change
-98,105647.67214797491,22595.456441875092,69975.1140422247,19541.68,3083.96,8356.77,198218.2426320747,30982.41,0.0061999999999999,-98
-50,106256.02490087449,20440.626730642485,73831.14056761797,19675.7,2789.85,8817.28,200527.79219913494,31282.83,0.155,-50
-25,106547.84935960137,19622.222018863795,75596.52147967878,19737.98,2678.15,9028.11,201766.59285814394,31444.24,0.2324999999999999,-25
0,106846.1713862028,18885.798187774388,77380.24249814103,19797.82,2577.64,9241.13,203112.21207211821,31616.589999999997,0.31,0
25,107163.44602490078,18208.32115668614,79201.92521662451,19861.3,2485.17,9458.69,204573.69239821145,31805.160000000003,0.3875,25
50,107492.04559535564,17589.037567729665,81041.62902080156,19926.09,2400.65,9678.39,206122.71218388685,32005.13,0.4649999999999999,50
98,108115.14962543837,16532.790817789628,84503.53545212561,20045.9,2256.49,10091.83,209151.4758953536,32394.22,0.6138,98
