,0,1
-98,0.006199999999999983,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/shgc_b1/run_neg_98
-50,0.155,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/shgc_b1/run_neg_50
-25,0.23249999999999998,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/shgc_b1/run_neg_25
0,0.31,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/shgc_b1/run_0
25,0.3875,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/shgc_b1/run_25
50,0.46499999999999997,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/shgc_b1/run_50
98,0.6138,/Users/julietnwagwuume-ezeoke/Documents/cee256_local/_final_project_local/optimization/opt_models/shgc_b1/run_98
