,elect,hot,chill,elect_c,hot_c,chill_c,total,total_c,vals,perc_change
-98,142173.47539173288,73594.08463645715,62785.02421720823,25253.01,10044.54,7498.1,278552.58424539823,42795.65,0.0704225352112679,-98
-50,143235.72864006498,68911.55065807357,72699.23662215266,25529.92,9405.44,8682.1,284846.5159202912,43617.46,1.7605633802816902,-50
-25,143158.63898033847,68206.10733913266,72490.87744641589,25522.78,9309.16,8657.22,283855.623765887,43489.16,2.6408450704225355,-25
0,143112.3699016278,68140.36542473458,72618.206867521,25521.14,9300.18,8672.43,283870.94219388335,43493.75,3.5211267605633805,0
25,143027.56301523722,67518.48538264434,71963.75644109836,25506.3,9215.31,8594.27,282509.8048389799,43315.880000000005,4.401408450704226,25
50,143043.75057548715,67536.94404368447,72181.60631147529,25512.25,9217.82,8620.29,282762.3009306469,43350.36,5.281690140845071,50
98,143063.4202091184,67559.51446545888,72449.43687850317,25519.33,9220.91,8652.27,283072.37155308045,43392.51000000001,6.971830985915493,98
